NO,CODE,MDA,Country,GPS,Personnel,Overheads,Capital
56,119009051,"FOREIGN MISSION:
 KHARTOUM",Sudan,"15.6027045,32.5327576",246304971,154302701,75000000
57,119009052,FOREIGN MISSION: KIEV,Ukraine,"50.3998492,30.5006173",320218435,205077276,0
58,119009053,"FOREIGN MISSION: KIGALI
 RWANDA",Rwanda,"-1.9199225,30.0896551",254844030,166311243,0
59,119009054,"FOREIGN MISSION:
 KINGSTON",Jamaica,"18.0145055,-76.7947152",223913609,142137228,0
60,119009055,"FOREIGN MISSION:
 KINSHASA",Democratic Republic of the Congo,"-4.2722536,15.2316852",215705552,129097662,0
61,119009056,"FOREIGN MISSION: KUALA
 LUMPUR",Malaysia,"3.1577034,101.7367984",306000860,156492695,0
62,119009057,"FOREIGN MISSION:
 KUWAIT",Kuwait,"29.2792296,48.0494715",189890679,145762891,16461000
63,119009058,"FOREIGN MISSION:
 LIBREVILLE",Gabon,"0.4219928,9.4405064",206366741,138760843,0
64,119009059,FOREIGN MISSION: LISBON,Portugal,"38.7020792,-9.2202555",232642304,162331504,0
65,119009060,FOREIGN MISSION: LOME,Togo,"6.144957,1.209301",211351708,140807448,0
66,119009061,"FOREIGN MISSION:
 LONDON",United Kingdom,"51.5105151,-0.1211919",1108300236,493684941,0
67,119009062,"FOREIGN MISSION:
 LUANDA",Angola,"-8.8533562,13.2140636",158008703,138676026,0
68,119009063,"FOREIGN MISSION:
 LUSAKA",Zambia,"-15.4190597,28.3082579",187924552,139996377,0
69,119009064,"FOREIGN MISSION:
 MADRID",Spain,"40.4510331,-3.6870208",741362060,143920084,0
70,119009065,"FOREIGN MISSION:
 MALABO",Equatorial Guinea,"3.7559639,8.7743712",230606612,140759970,60000000
71,119009066,"FOREIGN MISSION:
 MANILLA",Phillipines,"14.5485822,121.0263103",208093163,139091319,24180000
72,119009067,"FOREIGN MISSION:
 MAPUTO",Mozambique,"-25.9565984,32.5934722",237653635,139270164,0
73,119009068,"FOREIGN MISSION:
 MEXICO CITY",Mexico,"19.422345,-99.2266704",233873869,158215062,0
74,119009069,"FOREIGN MISSION:
 MONROVIA",Liberia,"6.2730566,-10.7482971",230850679,145796339,0
75,119009070,"FOREIGN MISSION:
 MOSCOW",Russia,"55.766116,37.595644",458962089,161185137,0
76,119009071,"FOREIGN MISSION:
 NAIROBI",Kenya,"-1.2889555,36.7869741",327213511,150672346,0
77,119009072,"FOREIGN MISSION:
 N'DJAMENA",Chad,"12.1209969,15.0324835",333442445,141000065,16498200
78,119009074,"FOREIGN MISSION: NEW
 DELHI",India,"28.5752301,77.1634475",299619745,150292820,110000000
79,119009075,"FOREIGN MISSION: NEW
 YORK (CG)",United States of America,"40.7512665,-73.97307",844680581,261691812,24180000
80,119009076,"FOREIGN MISSION: NEW
 YORK (PM)",United States of America,"40.751189,-73.9729967",1478153309,623018951,100000000
81,119009077,"FOREIGN MISSION:
 NIAMEY",Niger,"13.512926,2.0489918",233899956,140398075,0
82,119009078,"FOREIGN MISSION: NNJC -
 NIAMEY",Niger,"13.512926,2.0489918",173483894,174531460,0
83,119009080,"FOREIGN MISSION:
 OTTAWA",Canada,"45.4153387,-75.6928165",582581597,384627420,10423800
84,119009081,"FOREIGN MISSION:
 OUAGADOUGOU",Burkina Faso,"12.3586508,-1.6068842",232682231,138707398,57000000
85,119009082,FOREIGN MISSION: PARIS,France,"48.8660856,2.2750443",564180178,236157651,0
86,119009083,"FOREIGN MISSION: PORT
 OF SPAIN",Trinidad and Tobago,"10.6743698,-61.5238649",254969711,154699735,40000000
87,119009084,"FOREIGN MISSION:
 PRETORIA",South Africa,"-25.7466692,28.2271479",329643380,183673541,0
88,119009085,"FOREIGN MISSION: PYONG
 YANG",North Korea,"39.0235514,125.792344",235510617,159845136,0
89,119009086,FOREIGN MISSION: RABAT,Morocco,"33.9896827,-6.8496108",284060399,174319848,0
90,119009087,"FOREIGN MISSION:
 RIYADH",Saudi Arabia,"24.676952,46.6205362",314590361,157208035,0
91,119009088,FOREIGN MISSION: ROME,Italy,"41.9064402,12.4643632",505576412,168811858,0
92,119009091,"FOREIGN MISSION: SAO
 TOME",Sao Tome and Principe,"0.3396627,6.7363286",242925035,197654712,0
93,119009092,FOREIGN MISSION: SEOUL,South Korea,"37.5278166,126.9908692",373163627,184035944,57000000
94,119009093,"FOREIGN MISSION:
 SHANGHAI",China,"31.2223537,121.4419544",352424244,154344389,0
95,119009094,"FOREIGN MISSION:
 SINGAPORE",Singapore,"1.2738831,103.8431488",445450411,206726532,0
96,119009095,"FOREIGN MISSION:
 STOCKHOLM",Sweden,"59.3462167,18.0652577",340772658,155043618,0
97,119009096,"FOREIGN MISSION:
 TEHRAN",Iran,"35.7895113,51.4236123",263377132,182149151,0
98,119009097,"FOREIGN MISSION: TEL
 AVIV",Israel,"32.0819835,34.7700503",319428231,188592155,0
99,119009099,"FOREIGN MISSION: THE
 HAGUE",Netherlands,"52.101949,4.2975727",445146876,251548378,0
100,119009100,FOREIGN MISSION: TOKYO,Japan,"35.6666123,139.7431723",624176361,253809417,60000000
101,119009101,"FOREIGN MISSION:
 TRIPOLI",Libya,"32.8873022,13.1902587",219941110,178534805,0
102,119009102,FOREIGN MISSION: TUNIS,Tunisia,"36.8437995,10.1590368",295298458,189370660,0
103,119009103,"FOREIGN MISSION:
 VIENNA",Austria,"48.1964551,16.3797661",512184044,160278415,0
104,119009104,"FOREIGN MISSION:
 WARSAW",Poland,"52.1710417,21.0776473",294361311,139246997,16461000
105,119009105,"FOREIGN MISSION:
 WASHINGTON",United States of America,"38.9249038,-77.0761894",963033576,246092871,0
106,119009106,"FOREIGN MISSION:
 WINDHOEK",Namibia,"-22.5501501,17.0893729",295337620,141998479,0
107,119009107,"FOREIGN MISSION:
 YAOUNDE",Cameroon,"3.8899502,11.5120438",251621588,138717957,0
108,119009109,"FOREIGN MISSION, JUBA,
 SOUTH SUDAN",South Sudan,"4.8582711,31.5809507",252047279,150528259,0
109,119009110,"FOREIGN MISSIONS, ABU
 DHAB",United Arab Emirates,"24.4484438,54.366188",329572020,160907955,0
110,119009111,"FOREIGN MISSION
 LILONGWE, MALAWI",Malawi,"-13.9659168,33.7644801",242897367,132048889,23250000
111,119009115,"FOREIGN MISSION
 PRAQUE, CZECH REPUBLIC",Czech Republic,"50.1086338,14.3749896",148779012,221957298,0
112,119009116,"FOREIGN MISSION
 VATICAN",Vatican,"41.9015554,12.4566795",271076192,139208196,0
113,119009118,"CONSOLATE GENERAL
 FRANKFURT, GERMANY",Germany,"50.1095647,8.6738556",327156111,244322829,0
114,119009120,"FOREIGN MISSION DOHA,
 QATAR",Qatar,"25.3325075,51.5160429",307537898,139229088,0
115,119009122,"PERMANENT REPRESENTATION, ECOWAS, ABUJA",Nigeria,"9.0421682,7.523328",182051436,162321470,0
116,119009123,"FOREIGN MISSION AMMAN, JORDAN",Jordan,"31.9435185,35.872510",379502024,155484567,0
117,119009124,"FOREIGN MISSION GUANGZHOU, CHINA",China,"23.1352217,113.316275",290694952,181348532,0
